2025-05-02 22:45:01,49.80,18
2025-05-02 22:50:02,46.70,14
2025-05-02 22:55:02,47.00,19
2025-05-02 23:00:01,47.70,13
2025-05-02 23:05:01,46.10,7
2025-05-02 23:10:01,46.80,11
2025-05-02 23:15:01,46.70,10
2025-05-02 23:20:01,46.70,13
2025-05-02 23:25:01,46.80,10
2025-05-02 23:30:01,48.90,19
2025-05-02 23:35:02,49.80,27
2025-05-02 23:40:01,46.90,11
2025-05-02 23:45:01,46.90,13
2025-05-02 23:50:01,46.30,13
2025-05-02 23:55:01,47.90,13
2025-05-03 00:00:01,47.80,15
2025-05-03 00:05:02,46.60,11
2025-05-03 00:10:02,47.50,13
2025-05-03 00:15:01,46.20,9
2025-05-03 00:20:01,54.90,16
2025-05-03 00:25:01,48.10,14
2025-05-03 00:30:01,75.20,14
2025-05-03 00:35:01,48.40,11
2025-05-03 00:40:01,46.80,16
2025-05-03 00:45:01,50.20,19
2025-05-03 00:50:01,46.90,17
2025-05-03 00:55:01,46.80,13
2025-05-03 01:00:01,51.80,16
2025-05-03 01:05:01,48.40,12
2025-05-03 01:10:01,47.30,9
2025-05-03 01:15:01,48.80,18
2025-05-03 01:20:02,51.30,12
2025-05-03 01:25:01,52.10,16
2025-05-03 01:30:01,177.10,17
2025-05-03 01:35:01,46.40,9
2025-05-03 01:40:01,52.70,16
2025-05-03 01:45:01,48.10,23
2025-05-03 01:50:02,205.00,19
2025-05-03 01:55:01,49.40,15
2025-05-03 02:00:01,49.70,22
2025-05-03 02:05:01,57.60,17
2025-05-03 02:10:01,56.60,15
2025-05-03 02:15:01,56.10,29
2025-05-03 02:20:01,218.40,25
2025-05-03 02:25:01,241.90,20
2025-05-03 02:30:01,54.80,11
2025-05-03 02:35:01,47.60,20
2025-05-03 02:40:01,49.70,16
2025-05-03 02:45:01,56.70,23
2025-05-03 02:50:01,55.60,15
2025-05-03 02:55:01,48.20,17
2025-05-03 03:00:01,47.70,14
2025-05-03 03:05:01,49.50,11
2025-05-03 03:10:01,50.40,15
2025-05-03 03:15:02,55.20,20
2025-05-03 03:20:01,66.20,28
2025-05-03 03:25:01,62.00,27
2025-05-03 03:30:01,63.00,15
